scan	exclude	SubjID	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
sub-rat027_task-rest_run-04_bold	yes	sub-rat027_task-rest_run-04_bold	0.21991055156269165	-0.05561416406511422	0.0640019531618868	0.1155706466554286	Spurious
sub-rat028_task-rest_run-01_bold	yes	sub-rat028_task-rest_run-01_bold	0.010080466889690155	0.03998573758559306	0.08573240091805552	-0.047152456681537905	No
sub-rat028_task-rest_run-02_bold	yes	sub-rat028_task-rest_run-02_bold	0.06757053562429925	-0.10077027589083233	-0.1478290102829061	-0.02403072773375487	Spurious
sub-rat028_task-rest_run-03_bold	yes	sub-rat028_task-rest_run-03_bold	-0.10163459302286695	0.6062866100235675	0.2988342205819643	0.09153912692428874	Specific
sub-rat028_task-rest_run-04_bold	yes	sub-rat028_task-rest_run-04_bold	0.2395261296742746	-0.06322252287022537	-0.26595134386974945	0.20522077478445538	Spurious
sub-rat029_task-rest_run-01_bold	no	sub-rat029_task-rest_run-01_bold	0.01006000157597667	0.6520180985489501	0.48614637372618374	-0.1134412869598746	Specific
sub-rat029_task-rest_run-02_bold	no	sub-rat029_task-rest_run-02_bold	0.0868291835873441	0.286695747145725	0.0521112079207532	0.05189538987071178	No
sub-rat029_task-rest_run-03_bold	no	sub-rat029_task-rest_run-03_bold	0.08424748821934637	0.6438086322880601	0.24086484152580073	-0.0744832755552811	Specific
sub-rat029_task-rest_run-04_bold	no	sub-rat029_task-rest_run-04_bold	0.1223626469014213	0.1982347883763794	0.09578621639764869	0.12050117646305715	Spurious
sub-rat030_task-rest_run-01_bold	no	sub-rat030_task-rest_run-01_bold	0.13260123179072908	0.45017788752730187	0.4253244678152965	0.5036760966083298	Unspecific
sub-rat030_task-rest_run-02_bold	no	sub-rat030_task-rest_run-02_bold	0.26286219405713024	0.46380897055945663	0.47438286339370983	0.06269351978844345	Specific
sub-rat033_task-rest_run-01_bold	no	sub-rat033_task-rest_run-01_bold	0.25849261842474186	0.7700243598922517	0.5143383611834578	-0.005899661170067418	Specific
sub-rat033_task-rest_run-02_bold	no	sub-rat033_task-rest_run-02_bold	0.08306825059729171	0.33738865255427747	0.2005747940313682	-0.025878302844781233	Specific
sub-rat033_task-rest_run-03_bold	no	sub-rat033_task-rest_run-03_bold	0.054263102244257774	0.438655437607686	0.0559130357756985	-0.07465583643398882	No
sub-rat033_task-rest_run-04_bold	no	sub-rat033_task-rest_run-04_bold	-0.008158426526760486	0.04263821304411856	-0.14728899897053135	0.14374006024321878	Spurious
sub-rat034_task-rest_run-01_bold	no	sub-rat034_task-rest_run-01_bold	-0.04997643119550335	0.29652816570785323	0.17586073597697607	-0.0792318575795418	Specific
sub-rat034_task-rest_run-02_bold	no	sub-rat034_task-rest_run-02_bold	0.046528413985052676	0.20291273800870216	0.2531266422151062	0.040716077969078696	Specific
sub-rat035_task-rest_run-01_bold	no	sub-rat035_task-rest_run-01_bold	0.006792541992180701	0.1533713705301718	0.049748893038137725	-0.10656563252386685	Spurious
sub-rat035_task-rest_run-02_bold	no	sub-rat035_task-rest_run-02_bold	-0.07764471287896185	-0.006400886295867194	0.02931573698393941	0.01607374260126076	No
